id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SCARB2	3	1.0	1.0	1.0	21471	0	6.6932	2.5003e-10	2.3057e-07	0.002475	1	3	6.6932
JAK1	3	1.0	1.0	1.0	21470	0	4.1288	6.9231e-09	2.3057e-07	0.002475	2	3	4.1288
CHST11	3	1.0	1.0	1.0	21469	0	3.057	2.9312e-07	6.917e-07	0.00495	3	3	3.057
SLC35B2	3	0.99366	0.99377	1.0	21300	0	4.0711	3.075e-06	1.0837e-05	0.058168	4	2	4.0711
PALMD	3	0.81483	0.82232	1.0	17415	1	3.7049	1.8659e-05	5.7872e-05	0.248515	5	2	3.7049
OSR2	3	0.93949	0.93961	1.0	20034	0	3.3294	3.0612e-05	9.5685e-05	0.273377	6	2	3.3294
hsa-mir-4493	4	0.49489	0.66553	1.0	13293	1	0.27905	3.1898e-05	0.00010906	0.273377	7	2	0.27905
GLRA4	3	0.9571	0.95728	1.0	20427	0	3.405	3.6681e-05	0.00011459	0.273377	8	2	3.405
GIMAP1-GIMAP5	2	0.99493	0.99483	1.0	21336	0	4.19	4.7846e-05	0.00010099	0.273377	9	2	4.19
CHSY1	3	0.99989	0.99989	1.0	21468	0	2.3429	0.00010774	0.00032348	0.609211	10	3	2.3429
TRIO	3	0.97037	0.97042	1.0	20744	0	0.57879	0.00011961	0.00035715	0.609211	11	1	0.57879
AADACL2	3	0.99988	0.99988	1.0	21467	0	1.8142	0.00012304	0.00036775	0.609211	12	3	1.8142
CCDC140	3	0.99988	0.99988	1.0	21466	0	1.56	0.00012351	0.00036914	0.609211	13	3	1.56
OR2T3	3	0.99987	0.99987	1.0	21465	0	2.0571	0.00013488	0.00040119	0.609211	14	3	2.0571
LETMD1	3	0.99985	0.99985	1.0	21464	0	2.0114	0.00014652	0.00044246	0.609211	15	3	2.0114
PHF21A	3	0.66427	0.72861	1.0	15247	1	2.8539	0.0001555	0.00046321	0.609211	16	2	2.8539
CNIH4	3	0.99983	0.99983	1.0	21463	0	1.798	0.00016508	0.00048673	0.609211	17	3	1.798
AKAP4	3	0.9998	0.9998	1.0	21462	0	1.5831	0.00020111	0.00058356	0.609211	18	3	1.5831
BTBD6	3	0.7056	0.75105	1.0	15797	1	2.756	0.00020797	0.00060662	0.609211	19	2	2.756
UBR2	3	0.46879	0.62377	1.0	12704	1	2.768	0.00024514	0.00072006	0.609211	20	2	2.768
PLA2G16	3	0.99974	0.99973	1.0	21461	0	1.4414	0.00026228	0.00076848	0.609211	21	3	1.4414
OR5L1	3	0.99232	0.99239	1.0	21253	0	2.6202	0.00027981	0.00082105	0.609211	22	2	2.6202
NRXN3	3	0.78535	0.80093	1.0	16933	1	2.5939	0.00028257	0.00082889	0.609211	23	2	2.5939
CREBBP	3	0.99972	0.99971	1.0	21460	0	1.5053	0.00028279	0.00082889	0.609211	24	3	1.5053
XYLT2	3	0.99972	0.99971	1.0	21459	0	2.0815	0.00028465	0.00083211	0.609211	25	3	2.0815
SETD3	3	0.99971	0.99971	1.0	21458	0	1.4644	0.00029028	0.00084503	0.609211	26	3	1.4644
DOLK	3	0.31368	0.46714	1.0	9557	1	-0.50107	0.00031097	0.00090636	0.609211	27	1	-0.50107
ASB4	3	0.99969	0.99968	1.0	21457	0	1.4811	0.00031308	0.00091512	0.609211	28	3	1.4811
EGLN1	3	0.99968	0.99968	1.0	21456	0	1.5252	0.00031729	0.0009308	0.609211	29	3	1.5252
RBMXL3	3	0.9988	0.99881	1.0	21430	0	2.5657	0.00031969	0.00093633	0.609211	30	3	2.5657
HPS6	3	0.16832	0.31406	1.0	6449	1	2.6586	0.00033058	0.00096861	0.611677	31	2	2.6586
HTR1F	3	0.99965	0.99965	1.0	21455	0	1.3645	0.00034759	0.0010253	0.628996	32	3	1.3645
hsa-mir-8059	4	0.086003	0.21406	0.99195	4134	2	-1.2839	0.00035083	0.0013195	0.639934	33	1	-1.2839
CYP4F11	3	0.99964	0.99964	1.0	21454	0	1.3927	0.00036004	0.0010608	0.632701	34	3	1.3927
KCNJ8	3	0.96318	0.96327	1.0	20573	0	2.5216	0.00037379	0.0011019	0.633301	35	2	2.5216
SORD	3	0.9996	0.9996	1.0	21453	0	1.3632	0.00039579	0.0011591	0.633301	36	3	1.3632
SOX14	3	0.82951	0.83396	1.0	17679	1	1.2344	0.00040664	0.0011895	0.633301	37	2	1.2344
DBNDD2	3	0.69587	0.74557	1.0	15670	1	2.5443	0.0004118	0.0012042	0.633301	38	2	2.5443
IFI27L2	3	0.99957	0.99956	1.0	21452	0	1.5419	0.00043273	0.0012702	0.634239	39	3	1.5419
TIMM8B	3	0.93626	0.93633	1.0	19959	0	1.9863	0.00045448	0.0013412	0.639934	40	2	1.9863
hsa-mir-653	4	0.64081	0.77671	1.0	14950	2	0.023031	0.00047838	0.0018	0.7049	41	2	0.023031
C14orf119	3	0.32709	0.48098	1.0	9839	1	-0.55782	0.00050231	0.001456	0.679617	42	1	-0.55782
FGF12	3	0.99946	0.99946	1.0	21451	0	1.7816	0.00053768	0.0015538	0.7049	43	3	1.7816
LOC730159	3	0.19025	0.33772	1.0	6929	1	-0.25032	0.00055014	0.0015884	0.7049	44	1	-0.25032
TRIM49	1	0.99945	0.99949	1.0	21450	0	4.5738	0.00055024	0.00055636	0.609211	45	1	4.5738
PIGF	3	0.98904	0.98915	1.0	21178	0	2.376	0.00055729	0.0016128	0.7049	46	2	2.376
