id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SCARB2	3	1.0	1.0	1.0	21473	0	1.6527	2.7977e-09	2.3055e-07	0.00495	1	3	1.6527
CCDC81	3	0.99999	0.99999	1.0	21472	0	0.59661	7.0183e-06	2.3285e-05	0.25	2	3	0.59661
GDPD2	3	0.99997	0.99998	1.0	21471	0	0.58776	2.8546e-05	8.7838e-05	0.585396	3	3	0.58776
hsa-mir-3658	4	0.94744	0.94744	1.0	20016	0	0.44434	3.1843e-05	0.00010905	0.585396	4	2	0.44434
FAM188A	3	0.92852	0.92858	1.0	19506	0	0.69144	4.7976e-05	0.00014732	0.632673	5	2	0.69144
MARK4	3	0.54927	0.58246	1.0	11487	1	-0.0023259	7.1646e-05	0.00021464	0.768152	6	1	-0.0023259
hsa-mir-5572	4	0.99989	0.9999	1.0	21470	0	0.50639	0.00011016	0.00041936	0.818632	7	4	0.50639
LDHAL6B	3	0.84467	0.84464	1.0	17440	0	0.77215	0.00011314	0.00033913	0.818632	8	2	0.77215
LRFN5	3	0.99987	0.99987	1.0	21469	0	0.72456	0.00012924	0.00038616	0.818632	9	3	0.72456
BAZ2A	3	0.99987	0.99987	1.0	21468	0	0.73084	0.00013065	0.00038985	0.818632	10	3	0.73084
SSFA2	3	0.99987	0.99987	1.0	21467	0	0.65774	0.00013494	0.00040138	0.818632	11	3	0.65774
C10orf131	3	0.92887	0.92892	1.0	19515	0	0.14677	0.00016717	0.00048899	0.823967	12	1	0.14677
FGFBP1	3	0.99983	0.99983	1.0	21466	0	0.47382	0.00017387	0.00051342	0.823967	13	3	0.47382
SAT2	3	0.99037	0.99046	1.0	21178	0	0.74594	0.00026269	0.00077025	0.823967	14	3	0.74594
hsa-mir-3650	4	0.86314	0.86282	1.0	17882	0	0.3434	0.00028656	0.0010783	0.823967	15	3	0.3434
TMTC1	3	0.99971	0.9997	1.0	21465	0	0.78471	0.00029447	0.00085463	0.823967	16	3	0.78471
hsa-mir-7110	4	0.25651	0.40063	1.0	7295	2	0.2449	0.00030305	0.001141	0.823967	17	2	0.2449
TPGS1	3	0.90822	0.90818	1.0	18977	0	0.98028	0.00031044	0.00090258	0.823967	18	2	0.98028
FBXW9	3	0.99968	0.99968	1.0	21464	0	0.52227	0.0003159	0.00092656	0.823967	19	3	0.52227
ACTL7A	3	0.64237	0.65216	1.0	13027	1	0.67978	0.00034352	0.0010105	0.823967	20	2	0.67978
C14orf79	3	0.99965	0.99965	1.0	21463	0	0.53191	0.00034983	0.0010326	0.823967	21	3	0.53191
hsa-mir-100	4	0.99965	0.99966	1.0	21462	0	0.5247	0.00035014	0.0013153	0.823967	22	4	0.5247
TMBIM4	3	0.99964	0.99964	1.0	21461	0	0.81519	0.000357	0.001052	0.823967	23	3	0.81519
hsa-mir-5688	4	0.98962	0.98958	1.0	21160	0	0.52539	0.00036509	0.0013807	0.823967	24	4	0.52539
TMX2	3	0.013954	0.036744	0.636949	1238	2	-0.65829	0.00040595	0.0011875	0.823967	25	1	-0.65829
C7orf10	3	0.99954	0.99954	1.0	21460	0	0.76505	0.00045522	0.0013415	0.823967	26	3	0.76505
GUCY2F	3	0.99952	0.99952	1.0	21459	0	0.49352	0.00047559	0.0013969	0.823967	27	3	0.49352
CCDC172	3	0.90753	0.9075	1.0	18958	0	0.30208	0.00050145	0.0014536	0.823967	28	2	0.30208
PAX1	3	0.96589	0.96593	1.0	20514	0	0.82583	0.00050938	0.0014776	0.823967	29	3	0.82583
WIPI1	3	0.99533	0.99542	1.0	21338	0	0.65328	0.00053372	0.0015421	0.823967	30	3	0.65328
hsa-mir-4488	4	0.99946	0.99947	1.0	21458	0	0.70374	0.00053533	0.0020046	0.823967	31	4	0.70374
CYP27A1	3	0.85708	0.85697	1.0	17725	0	0.064557	0.00057308	0.001656	0.823967	32	1	0.064557
RPL21	3	0.85166	0.85158	1.0	17593	0	1.6033	0.00057308	0.001656	0.823967	33	2	1.6033
ZNF44	3	0.99941	0.99942	1.0	21457	0	0.63817	0.00058556	0.0016961	0.823967	34	3	0.63817
hsa-mir-16-2	4	0.82324	0.8231	1.0	16951	1	0.78413	0.00060489	0.0022642	0.823967	35	3	0.78413
FGF1	3	0.99938	0.99939	1.0	21456	0	0.80083	0.00061582	0.0017791	0.823967	36	3	0.80083
ZNF384	3	0.99936	0.99936	1.0	21455	0	0.61424	0.00064034	0.0018483	0.823967	37	3	0.61424
