id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EMC2	3	0.72582	0.76278	0.999825	16219	1	6.2126	1.3149e-06	4.8417e-06	0.10396	1	2	6.2126
SSR2	3	0.99999	0.99999	0.999991	21472	0	5.5785	5.0689e-06	1.8214e-05	0.195545	2	3	5.5785
SSR3	3	0.99999	0.99999	0.999991	21471	0	3.6267	1.3779e-05	4.4958e-05	0.273515	3	3	3.6267
HDLBP	3	0.94221	0.9423	0.999825	20118	0	4.8983	1.6591e-05	5.0953e-05	0.273515	4	2	4.8983
SPCS3	3	0.23967	0.38985	0.999825	8217	2	-4.7553	2.3934e-05	7.3086e-05	0.313861	5	1	-4.7553
LSM12	3	0.96333	0.96344	0.999825	20647	0	4.5675	3.5062e-05	0.00010998	0.371287	6	2	4.5675
HIPK1	3	0.91441	0.91437	0.999825	19508	0	4.2356	7.9657e-05	0.0002377	0.567107	7	2	4.2356
hsa-mir-4528	2	0.99991	0.99992	0.999991	21470	0	3.7295	8.5499e-05	0.00017269	0.46349	8	2	3.7295
hsa-mir-568	4	0.28494	0.49901	0.999825	9196	1	2.8818	0.00010467	0.0003516	0.595963	9	3	2.8818
LOC730183	3	0.79509	0.80778	0.999825	17211	1	0.1879	0.00011967	0.00035759	0.595963	10	1	0.1879
NonTargetingControlGuideForHuman_0738	1	0.99988	0.99989	0.999991	21469	0	7.9971	0.00011967	0.00012104	0.371287	11	1	7.9971
BUB3	3	0.98354	0.98365	0.999825	21114	0	4.1255	0.00012017	0.00036082	0.595963	12	2	4.1255
MAP4K3	3	0.72907	0.76473	0.999825	16260	1	3.9339	0.00016188	0.00047748	0.679765	13	2	3.9339
MAPRE3	3	0.99983	0.99983	0.999991	21468	0	1.9954	0.00016776	0.00049085	0.679765	14	3	1.9954
BHLHE22	3	0.99983	0.99983	0.999991	21467	0	2.974	0.00017157	0.00050653	0.679765	15	3	2.974
ZBTB14	3	0.39147	0.54642	0.999825	11476	1	3.8412	0.00020499	0.00059783	0.689975	16	2	3.8412
SLC25A46	3	0.99979	0.99979	0.999991	21465	0	1.722	0.00020786	0.00060613	0.689975	17	3	1.722
ERP44	3	0.99892	0.99892	0.999991	21443	0	3.4784	0.00021539	0.00063334	0.689975	18	2	3.4784
hsa-mir-4259	4	0.78022	0.84516	0.999825	16997	1	2.822	0.00022168	0.00070204	0.689975	19	3	2.822
MRM1	3	0.99977	0.99976	0.999991	21464	0	1.9029	0.00023228	0.00069098	0.689975	20	3	1.9029
MMGT1	3	0.99974	0.99974	0.999991	21463	0	2.8753	0.0002564	0.00075276	0.689975	21	3	2.8753
OR5M8	3	0.53969	0.67089	0.999825	14062	1	-0.66603	0.00026325	0.00077121	0.689975	22	1	-0.66603
EMC3	3	0.95123	0.95139	0.999825	20320	0	3.7052	0.00030255	0.00087773	0.738861	23	2	3.7052
EMC6	3	0.70027	0.74803	0.999825	15889	1	0.78948	0.00031111	0.00090678	0.738861	24	1	0.78948
NonTargetingControlGuideForHuman_0088	1	0.99969	0.99972	0.999991	21462	0	6.9732	0.00031114	0.00031886	0.595963	25	1	6.9732
COPS8	3	0.9955	0.99559	0.999991	21376	0	3.5948	0.00032195	0.00094413	0.738861	26	2	3.5948
