id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EMC2	3	0.99585	0.99591	0.999966	21365	0	2.6145	3.5262e-07	1.1528e-06	0.024752	1	3	2.6145
TTC19	3	0.68562	0.69818	0.999966	14787	1	3.538	2.9785e-06	1.0837e-05	0.116337	2	2	3.538
BCAS4	3	0.99999	1.0	0.999996	21471	0	1.4185	5.2601e-06	1.8676e-05	0.133663	3	3	1.4185
SPCS3	3	0.27011	0.40266	0.999966	8391	2	-0.19782	2.3922e-05	7.309e-05	0.313861	4	1	-0.19782
CSF3	3	0.24425	0.37211	0.999966	7794	1	2.7875	2.3994e-05	7.309e-05	0.313861	5	2	2.7875
ZFPM1	3	0.99994	0.99995	0.999993	21470	0	1.445	5.8381e-05	0.00017638	0.585891	6	3	1.445
MLIP	3	0.9997	0.9997	0.999966	21463	0	1.3398	7.0056e-05	0.00020866	0.585891	7	3	1.3398
BEST2	3	0.96982	0.96988	0.999966	20744	0	1.3263	0.00010181	0.0003055	0.585891	8	3	1.3263
LOC730183	3	0.19086	0.30852	0.999966	6482	2	-0.59743	0.0001196	0.00035715	0.585891	9	1	-0.59743
hsa-mir-450a-1	2	0.99987	0.99987	0.999966	21469	0	1.4934	0.00013498	0.00026769	0.585891	10	2	1.4934
CREBRF	3	0.89993	0.89997	0.999966	19170	0	1.4098	0.00013559	0.00040234	0.585891	11	2	1.4098
IPCEF1	3	0.99985	0.99985	0.999966	21468	0	0.85113	0.00015283	0.00045537	0.585891	12	3	0.85113
CDSN	3	0.99983	0.99983	0.999966	21467	0	0.80169	0.00016548	0.00048719	0.585891	13	3	0.80169
OR5M8	3	0.27695	0.4107	0.999966	8558	2	-0.32988	0.00016744	0.00048949	0.585891	14	1	-0.32988
OVOL2	3	0.93797	0.93809	0.999966	20046	0	1.3255	0.00017021	0.00050148	0.585891	15	2	1.3255
APOE	3	0.99983	0.99983	0.999966	21466	0	0.73304	0.00017043	0.0005024	0.585891	16	3	0.73304
MIF	3	0.94073	0.9408	0.999966	20087	0	1.5563	0.0001871	0.00054575	0.585891	17	2	1.5563
FETUB	3	0.99648	0.99653	0.999966	21386	0	1.1674	0.000197	0.00057342	0.58628	18	3	1.1674
DYNC1LI2	3	0.69541	0.70584	0.999966	14964	1	0.27169	0.00021528	0.00063244	0.617237	19	2	0.27169
NonTargetingControlGuideForHuman_0738	1	0.99977	0.99979	0.999966	21465	0	2.4924	0.00023125	0.00023218	0.585891	20	1	2.4924
DNTT	3	0.88457	0.88464	0.999966	18842	0	0.90043	0.00025553	0.00074957	0.676634	21	2	0.90043
CXCL11	3	0.37446	0.51102	0.999966	10599	1	0.15539	0.00026312	0.00077125	0.676634	22	2	0.15539
SNRNP25	2	0.022896	0.042384	0.922753	1303	1	1.9608	0.0002711	0.00051854	0.585891	23	1	1.9608
hsa-mir-450b	4	0.99972	0.99972	0.999966	21464	0	0.79782	0.00028198	0.0010599	0.770266	24	4	0.79782
EMC6	3	0.20513	0.32568	0.999966	6816	1	-0.025457	0.00031095	0.00090636	0.748477	25	1	-0.025457
SH3BGRL	3	0.99968	0.99967	0.999966	21462	0	0.91771	0.00032306	0.00094555	0.751925	26	3	0.91771
